outcome,organization,rel_time,beta,se,ci95_lb,ci95_ub,side
strategy_nut,eu,5,.0012846754706333,.013123485,-.024436884,.027006233,post
strategy_nut,eu,6,.018225554282519,.0065558292,.005376365,.031074744,post
strategy_nut,eu,7,.0067171735770088,.01800972,-.028581232,.042015579,post
strategy_nut,eu,8,.0577155693131398,.026259976,.0062469621,.10918418,post
strategy_nut,eu,9,.0140448890638099,.016143722,-.017596228,.045686007,post
strategy_nut,eu,10,.0069840240535472,.014357873,-.02115689,.035124939,post
strategy_nut,oecd,-5,.0074148584463822,.026705727,-.044927407,.059757121,pre
strategy_nut,oecd,-4,.0587640406550076,.067205235,-.072955802,.19048388,pre
strategy_nut,oecd,-3,.0042429191105999,.017702915,-.030454157,.038939994,pre
strategy_nut,oecd,-2,.0521518370397173,.037917033,-.022164181,.12646785,pre
strategy_nut,oecd,0,-.0284036228272339,.030449197,-.088082954,.031275708,post
strategy_nut,oecd,1,-.0015604105582203,.020474311,-.041689321,.0385685,post
strategy_nut,oecd,2,.0223447321445365,.0286816,-.033870172,.078559637,post
strategy_nut,oecd,3,-.0428988514932698,.0220335,-.086083718,.00028601309,post
strategy_nut,oecd,4,-.0134286772429304,.024291903,-.061039932,.034182578,post
strategy_nut,oecd,5,.0636924241176362,.026586087,.011584651,.11580019,post
strategy_nut,oecd,6,-.0124069374270749,.016337456,-.044427764,.019613888,post
strategy_nut,oecd,7,-.025866344071863,.022305189,-.069583707,.017851021,post
strategy_nut,oecd,8,-.0401477593248899,.017601641,-.074646339,-.0056491769,post
strategy_nut,oecd,9,-.0059731505171617,.029302308,-.06340462,.051458322,post
strategy_nut,oecd,10,-.0145585189315112,.019765092,-.053297389,.024180351,post
