organization,beta,se,ci95_lb,ci95_ub,pretrend_pvalue,n_countries,n_treated,n_controls,N,window,min_side
eu,-.0141037713634969,.0093297791,-.032389801,.0041822591,.1654624326665997,196,15,181,4560,5,4
oecd,-.007196179930487,.012223721,-.031154232,.016761873,.234130171527815,177,6,171,4675,5,4
