record_id,strategy_sus,strategy_fs,strategy_nut
LEX-FAOC001069,-0.06628898222237958,-0.08588027090110877,-0.0364361556256219
LEX-FAOC001401,0.09415148649794704,0.10220670021649866,0.05379496243396702
LEX-FAOC001406,0.23102505233302092,0.34452980767554264,0.33176085176159475
LEX-FAOC001418,0.03812864375788984,0.1266933434063592,0.13312642710738481
LEX-FAOC001419,0.15589157393703792,0.24025204045066068,0.17128971023347592
LEX-FAOC001428,0.27896072364099905,0.334809141975241,0.33050700328034444
LEX-FAOC001464,0.011612719899827952,0.014555421426887582,-0.019517562283119447
LEX-FAOC001623,-0.046894031111875234,-0.06997885105832342,-0.060504282638659666
LEX-FAOC001746,-0.057376559954793294,-0.07832344977818731,-0.08904553471272822
LEX-FAOC001855,-0.03322352765584664,-0.05775980806775823,-0.06876064108193919
