record_id,strategy_sus,strategy_fs,strategy_nut
LEX-FAOC001069,0.20211406655180233,0.21094872051914026,0.12182675006227567
LEX-FAOC001401,0.16075752132226653,0.25160511875797753,0.2030067271733312
LEX-FAOC001406,0.14723591265797417,0.26320813855222075,0.30810630159379443
LEX-FAOC001418,0.14146015643408116,0.26949497860913985,0.21221304336761998
LEX-FAOC001419,0.12004821577772402,0.15381854230158942,0.13106634517092175
LEX-FAOC001428,0.27124817092646697,0.3698047896656587,0.30474091175014906
LEX-FAOC001464,0.04508295325122619,0.1016591466632506,-0.0061159359435517535
LEX-FAOC001623,0.15586424299494644,0.26056876796388795,0.13234585434742077
LEX-FAOC001746,0.12869281688268155,0.2996568565559904,0.2509169098127958
LEX-FAOC001855,0.19173074985644792,0.28530796275099773,0.148204941951886
LEX-FAOC001890,0.0858097441788234,0.15158327800141125,0.06898828817247077
LEX-FAOC001891,0.13942685802242583,0.2072639135947791,0.13722159680589097
LEX-FAOC001961,0.07627006841071002,0.2363304626344741,0.1965277059004073
LEX-FAOC002577,0.2281083590184116,0.38769538870774645,0.313359726849607
LEX-FAOC002578,0.17997670461788431,0.38895414619146584,0.3373573645175698
LEX-FAOC002580,0.2134507711857433,0.22920410434418179,0.2734726172442432
LEX-FAOC002581,0.23059111254570186,0.29109264354154524,0.32806174233833607
LEX-FAOC002582,0.06501436818192709,0.05196170769707943,0.09684713717863304
LEX-FAOC002584,0.156765044787158,0.2662004137435769,0.24769766487725242
LEX-FAOC002590,-0.024065411842491544,0.1593636364615629,0.18621294588558715
LEX-FAOC002592,0.07090856458449203,0.10487336829649173,0.1918431363530402
LEX-FAOC002593,0.06022647632710777,0.10312197583061401,0.08501960482214496
LEX-FAOC002594,0.010321336111986549,0.023753601146071848,0.0722512569109711
LEX-FAOC002596,0.10945951416479922,0.1694992773817232,0.252316682347239
LEX-FAOC002604,0.017934544703916037,0.13349260191124335,0.13976992468389918
LEX-FAOC002606,0.04624728174093422,0.09080809569905654,0.030902311141941904
LEX-FAOC002616,0.20811484508120048,0.38628945511220153,0.3176229010962061
LEX-FAOC002620,0.31411464352231194,0.20378546828341496,0.22011578972393675
LEX-FAOC002622,0.20980054974646126,0.5017721773181759,0.658281621963418
LEX-FAOC002626,0.15395027025322544,0.36790710698050816,0.277798315918172
LEX-FAOC002640,0.165139703841108,0.27725792346025013,0.23507195280794846
LEX-FAOC002651,0.07890161232101031,0.3056850946280704,0.46705992669023433
LEX-FAOC002663,0.17093091075584715,0.4806198633363123,0.5288450840805525
LEX-FAOC002665,0.20451952482938887,0.3234359549974424,0.2594115108803883
LEX-FAOC002666,0.11279764803063708,0.36378612045193925,0.3259255130435137
LEX-FAOC002667,0.050042998050633995,0.31814626716387434,0.3493085087464072
LEX-FAOC002668,0.06828756441797829,0.27958805180883883,0.19921733199554192
LEX-FAOC002669,0.18239096125592344,0.33291598764640873,0.28918157185178156
LEX-FAOC002670,0.029707649955325644,0.27957758903074037,0.2518167980781286
LEX-FAOC002671,-0.06860519139579577,0.14222843046532455,0.123153981736585
LEX-FAOC002672,0.13544492295490254,0.3989597809870554,0.371052588783795
LEX-FAOC002674,0.147381205334153,0.36238394603927077,0.3337287187093376
LEX-FAOC002675,0.040276471553477314,0.0776878850468851,0.13023046660581516
LEX-FAOC002676,0.08564485141500751,0.11925417101132804,0.06847872059856368
LEX-FAOC002679,0.1225547226470395,0.09280360226681007,0.2440702492032877
LEX-FAOC002681,0.18778113337397206,0.2069541880970714,0.22881175385710953
LEX-FAOC002686,0.10702962650043095,0.37034330240871005,0.35894356557733403
LEX-FAOC002689,-0.01802654585984233,0.073923305872235,0.052933971880663365
LEX-FAOC002692,0.09510177908350999,0.21323571333458272,0.2764004844279536
LEX-FAOC002699,0.0882937615137275,0.1903679725932451,0.17264578823379895
LEX-FAOC002700,0.12617537870976908,0.19652928034862632,0.22428583034192237
LEX-FAOC002701,-0.0005162357528173113,0.1395898862106346,0.12246595001853693
LEX-FAOC002702,0.08733089122687722,0.1711176159364806,0.2025724652531625
LEX-FAOC002703,0.06013865916777455,0.1950838619199722,0.2008620362847583
LEX-FAOC002705,0.15911828833349145,0.24407731010907416,0.20850162860590254
LEX-FAOC002714,0.2253170614875844,0.3225488038352791,0.28100423416310155
LEX-FAOC002719,0.1829349625700344,0.28174281356563075,0.2490824441860896
LEX-FAOC002720,0.07701999310301284,0.26585803841772965,0.154718798940229
LEX-FAOC002722,0.2777192307955139,0.5482917169476644,0.4897854121155289
LEX-FAOC002724,0.15564166190822581,0.2808220902224851,0.2922120868043031
LEX-FAOC002725,0.12182379391819283,0.28237082533045127,0.17609322279144626
LEX-FAOC002944,0.06450214391036821,0.258444839452666,0.25555259983681644
LEX-FAOC002954,0.20099805293215556,0.31733463769191034,0.2817897028130255
LEX-FAOC002972,0.2021877055849371,0.3189176066762413,0.2342199503491331
LEX-FAOC003086,0.18308283495509808,0.40414265137453265,0.3999288956406619
LEX-FAOC003090,0.19188001838983731,0.49048109693895103,0.5606157718606294
LEX-FAOC003106,0.16026891233275908,0.34339833215165355,0.3260428270229593
LEX-FAOC003135,0.23883930379976098,0.4510468355711092,0.3926310163144668
LEX-FAOC003136,0.10576771161371462,0.2913491706345852,0.32045685573959
LEX-FAOC003139,0.20672913031793605,0.30416147207623845,0.24346739738271905
LEX-FAOC003141,0.12280860200631435,0.3015285076910803,0.3151075446115419
LEX-FAOC003147,0.20919331934640334,0.2570687127142308,0.18731659404014392
